,fov,round,ch,zplane,path,sha256,xc_min,xc_max,yc_min,yc_max,zc_min,zc_max,tile_width,tile_height
0,0,0,0,0,raw_frames/ISP-2019-08-28-14-30-00-0001/im_c001_z000_t000_p000.png,ca6542b33555ef0b39ada22f2559a288244acf9ce7a02a17af73a8477946c632,100688.6171875,100688.6171875,43243.875,43243.875,1764.82417,1764.82417,2048,2048
1,0,0,0,1,raw_frames/ISP-2019-08-28-14-30-00-0001/im_c001_z001_t000_p000.png,284d3fbeaec61da07494292483818cfb8381b0ceaa15ca11998ef8a1a9022ae7,100688.6171875,100688.6171875,43243.875,43243.875,1765.32417,1765.32417,2048,2048
2,0,0,0,2,raw_frames/ISP-2019-08-28-14-30-00-0001/im_c001_z002_t000_p000.png,60650493e7c1ef05144e9e9503bc94db56c8f5a3649bc044765c17f412af46ad,100688.6171875,100688.6171875,43243.875,43243.875,1765.82417,1765.82417,2048,2048
3,0,0,0,3,raw_frames/ISP-2019-08-28-14-30-00-0001/im_c001_z003_t000_p000.png,79ded6d3d47ab1fa11eee589d7cfa9ce1cc282adba1309edb8f23742867e77a3,100688.6171875,100688.6171875,43243.875,43243.875,1766.32417,1766.32417,2048,2048
4,0,0,0,4,raw_frames/ISP-2019-08-28-14-30-00-0001/im_c001_z004_t000_p000.png,caa242f99faec960342f06ef8918b91dfb76a7f94a198514f85b68c8682b5342,100688.6171875,100688.6171875,43243.875,43243.875,1766.82417,1766.82417,2048,2048
5,0,0,0,5,raw_frames/ISP-2019-08-28-14-30-00-0001/im_c001_z005_t000_p000.png,cb0543b19b831bb67cb839d0a3a6544940226dcd2d215f96c9c0ef6fe2ab7480,100688.6171875,100688.6171875,43243.875,43243.875,1767.32417,1767.32417,2048,2048
6,0,0,0,6,raw_frames/ISP-2019-08-28-14-30-00-0001/im_c001_z006_t000_p000.png,653018141869bb8b5f063bdadbda45f21c1456ee7518588cad9d3cd5b19936b3,100688.6171875,100688.6171875,43243.875,43243.875,1767.82417,1767.82417,2048,2048
7,0,0,0,7,raw_frames/ISP-2019-08-28-14-30-00-0001/im_c001_z007_t000_p000.png,6962a6e37195200a00b618ebc133f39f8f2511e5a996906609cff81c148672a0,100688.6171875,100688.6171875,43243.875,43243.875,1768.32417,1768.32417,2048,2048
8,0,0,0,8,raw_frames/ISP-2019-08-28-14-30-00-0001/im_c001_z008_t000_p000.png,b89f42ef88cc1cf9f849c64d54aa1a7f7291158f7b2f26de5673af0a9775a6c6,100688.6171875,100688.6171875,43243.875,43243.875,1768.82417,1768.82417,2048,2048
9,0,0,0,9,raw_frames/ISP-2019-08-28-14-30-00-0001/im_c001_z009_t000_p000.png,168a9d3f7c5b30d402c06796db3d3b6ae7502ecaba953c13de2d47f7d382254a,100688.6171875,100688.6171875,43243.875,43243.875,1769.32417,1769.32417,2048,2048
10,0,0,0,10,raw_frames/ISP-2019-08-28-14-30-00-0001/im_c001_z010_t000_p000.png,98e238897af2ddae35ccdbbb853ffa6801899e0da21e90376363e6a4c1b69c4d,100688.6171875,100688.6171875,43243.875,43243.875,1769.82417,1769.82417,2048,2048
