,fov,round,ch,zplane,path,sha256,xc_min,xc_max,yc_min,yc_max,zc_min,zc_max,tile_width,tile_height
0,0,0,0,0,raw_frames/SDG-2019-10-07-22-22-22-0098/im_c000_z000_t000_p012.png,adfc8173ecafe641754fee4d2802146555ad8dccc4fe6daca59a79ee9633d1d1,100559.832888,101226.66168800001,39403.53365520507,40070.362455205075,722.66677,722.66677,2048,2048
1,0,0,0,1,raw_frames/SDG-2019-10-07-22-22-22-0098/im_c000_z001_t000_p012.png,afbfbeb2827926ac74ab97c44924c1ddd973fbfc84a87cfd6276d027ff7a9b89,100559.832888,101226.66168800001,39403.53365520507,40070.362455205075,723.66677,723.66677,2048,2048
2,0,0,0,2,raw_frames/SDG-2019-10-07-22-22-22-0098/im_c000_z002_t000_p012.png,22b7afa66774cab1ffab4f3c1f4612ba517edd225cb7fcc294fbf442b06df33d,100559.832888,101226.66168800001,39403.53365520507,40070.362455205075,724.66677,724.66677,2048,2048
3,0,0,0,3,raw_frames/SDG-2019-10-07-22-22-22-0098/im_c000_z003_t000_p012.png,3552074df094598400a85478d89d934e6262dce288569f719f1b3150a4d75f7a,100559.832888,101226.66168800001,39403.53365520507,40070.362455205075,725.66677,725.66677,2048,2048
4,0,0,0,4,raw_frames/SDG-2019-10-07-22-22-22-0098/im_c000_z004_t000_p012.png,2e4135b3d0d01863cbf5a80cf7f478e90df546c9dc241982c7e1448c13a8e9a9,100559.832888,101226.66168800001,39403.53365520507,40070.362455205075,726.66677,726.66677,2048,2048
5,0,0,0,5,raw_frames/SDG-2019-10-07-22-22-22-0098/im_c000_z005_t000_p012.png,bdfeb6d557b5003fd89f4b983cc916377468e7848cf6707cbdcd1a638a5163f1,100559.832888,101226.66168800001,39403.53365520507,40070.362455205075,727.66677,727.66677,2048,2048
6,0,0,0,6,raw_frames/SDG-2019-10-07-22-22-22-0098/im_c000_z006_t000_p012.png,141fd4bcee9d1a591f969116b648c54494d9345b95d31c7e90a9d0e780a05755,100559.832888,101226.66168800001,39403.53365520507,40070.362455205075,728.66677,728.66677,2048,2048
