,fov,round,ch,zplane,path,sha256,xc_min,xc_max,yc_min,yc_max,zc_min,zc_max,tile_width,tile_height
63,2,0,0,13,raw_frames/ISP-2019-08-28-14-30-00-0001/im_c000_z013_t000_p002.png,0b9de5ac82304b524f51b78e86aaa8f3b31e93e7bf7c89be13b82c5e92f96eab,99995.71875,99995.71875,43086.6484375,43086.6484375,1774.95414,1774.95414,2048,2048
64,2,0,0,14,raw_frames/ISP-2019-08-28-14-30-00-0001/im_c000_z014_t000_p002.png,ead4c53d324f93e18b89d6b9ca6d7be97862f5e6527fe09494980780d48d276a,99995.71875,99995.71875,43086.6484375,43086.6484375,1775.45414,1775.45414,2048,2048
65,2,0,0,15,raw_frames/ISP-2019-08-28-14-30-00-0001/im_c000_z015_t000_p002.png,52d3a7f091338c91d8cb09eec3313e76d81d47e4b8c87b637d1e2b9a9c56d32d,99995.71875,99995.71875,43086.6484375,43086.6484375,1775.95414,1775.95414,2048,2048
66,2,0,0,16,raw_frames/ISP-2019-08-28-14-30-00-0001/im_c000_z016_t000_p002.png,26474568c9ea0b956e3c25a66c5df72f14b04db892892346daf4cacf9e2dd507,99995.71875,99995.71875,43086.6484375,43086.6484375,1776.45414,1776.45414,2048,2048
67,2,0,0,17,raw_frames/ISP-2019-08-28-14-30-00-0001/im_c000_z017_t000_p002.png,9ca9c359857237e47d3ea304dc63f175cc94ac1693bbf380cd75a41a9d1146eb,99995.71875,99995.71875,43086.6484375,43086.6484375,1776.95414,1776.95414,2048,2048
68,2,0,0,18,raw_frames/ISP-2019-08-28-14-30-00-0001/im_c000_z018_t000_p002.png,d5af0d523dd38c903dff2635d9e7756c627ced4a4e0aa541ad92c16619611799,99995.71875,99995.71875,43086.6484375,43086.6484375,1777.45414,1777.45414,2048,2048
69,2,0,0,19,raw_frames/ISP-2019-08-28-14-30-00-0001/im_c000_z019_t000_p002.png,84415a5ada05a603297610e868cc53c46cda4c9b89095939af913a0436bc5357,99995.71875,99995.71875,43086.6484375,43086.6484375,1777.95414,1777.95414,2048,2048
70,2,0,0,20,raw_frames/ISP-2019-08-28-14-30-00-0001/im_c000_z020_t000_p002.png,19306b3f04ffe7195ed25d60e0e75eb2a7e3cb523e2c3fe40082565bbb236319,99995.71875,99995.71875,43086.6484375,43086.6484375,1778.45414,1778.45414,2048,2048
71,2,0,0,21,raw_frames/ISP-2019-08-28-14-30-00-0001/im_c000_z021_t000_p002.png,26268c605941798f7fa5afbca034454cfe69f1918a33443de3c5c4de289855e9,99995.71875,99995.71875,43086.6484375,43086.6484375,1778.95414,1778.95414,2048,2048
72,2,0,0,22,raw_frames/ISP-2019-08-28-14-30-00-0001/im_c000_z022_t000_p002.png,09274bb9cb222abfc36861f9c866fa2d8998cdee141a9a8cf6ed6c69240a8e63,99995.71875,99995.71875,43086.6484375,43086.6484375,1779.45414,1779.45414,2048,2048
73,2,0,0,23,raw_frames/ISP-2019-08-28-14-30-00-0001/im_c000_z023_t000_p002.png,243cabd5d6e259bd1b0b334c4634efca3104654e491c39cfc08fa48529e631f2,99995.71875,99995.71875,43086.6484375,43086.6484375,1779.95414,1779.95414,2048,2048
74,2,0,0,24,raw_frames/ISP-2019-08-28-14-30-00-0001/im_c000_z024_t000_p002.png,fc56ae245e962b154b3afe28df80c5e347caf52f13498ebd6c4cec75e03b6673,99995.71875,99995.71875,43086.6484375,43086.6484375,1780.45414,1780.45414,2048,2048
75,3,0,0,0,raw_frames/ISP-2019-08-28-14-30-00-0001/im_c000_z000_t000_p003.png,aacd462b1b180427382735cc479dda74bc1fc22aeb9e1cd51f904d7ce298e5f2,99883.2578125,99883.2578125,42597.09765625,42597.09765625,1768.45414,1768.45414,2048,2048
76,3,0,0,1,raw_frames/ISP-2019-08-28-14-30-00-0001/im_c000_z001_t000_p003.png,8154036c1bdac9c7e1b6106d0b8432ecb1b16b96252efc1168585c5e17f2a8c1,99883.2578125,99883.2578125,42597.09765625,42597.09765625,1768.95414,1768.95414,2048,2048
77,3,0,0,2,raw_frames/ISP-2019-08-28-14-30-00-0001/im_c000_z002_t000_p003.png,8fd19f01a3fb3ffa59c7158921f67dd9928dc9d9677e9badff5f9d2c4e8cfcb5,99883.2578125,99883.2578125,42597.09765625,42597.09765625,1769.45414,1769.45414,2048,2048
78,3,0,0,3,raw_frames/ISP-2019-08-28-14-30-00-0001/im_c000_z003_t000_p003.png,cc67f4dd98678b0bad05a184fea7d990004f3282b1e14a1599a5c3e0c6bda35e,99883.2578125,99883.2578125,42597.09765625,42597.09765625,1769.95414,1769.95414,2048,2048
79,3,0,0,4,raw_frames/ISP-2019-08-28-14-30-00-0001/im_c000_z004_t000_p003.png,59a3598b3b75237786e70e76928c9002e764135c760fb70ff1c355a373326278,99883.2578125,99883.2578125,42597.09765625,42597.09765625,1770.45414,1770.45414,2048,2048
80,3,0,0,5,raw_frames/ISP-2019-08-28-14-30-00-0001/im_c000_z005_t000_p003.png,fc09e8ceae34efe84ad5e54901b1496c4c8a47d4bf0dcde0b14913f790f221f4,99883.2578125,99883.2578125,42597.09765625,42597.09765625,1770.95414,1770.95414,2048,2048
81,3,0,0,6,raw_frames/ISP-2019-08-28-14-30-00-0001/im_c000_z006_t000_p003.png,bce3f646a684400d20c69b3cc876747fc9e6332234b88bb5bac6ef00fedd825d,99883.2578125,99883.2578125,42597.09765625,42597.09765625,1771.45414,1771.45414,2048,2048
82,3,0,0,7,raw_frames/ISP-2019-08-28-14-30-00-0001/im_c000_z007_t000_p003.png,cef7b93cd8c98883ada3088f9fa91558ea1f71d17241561f91e65249f2baad83,99883.2578125,99883.2578125,42597.09765625,42597.09765625,1771.95414,1771.95414,2048,2048
83,3,0,0,8,raw_frames/ISP-2019-08-28-14-30-00-0001/im_c000_z008_t000_p003.png,c8ba985b240ebc06e0c5f03325515203830270d4afdfdb66ba066a2eb50618f1,99883.2578125,99883.2578125,42597.09765625,42597.09765625,1772.45414,1772.45414,2048,2048
